Month,In/Out,Australia,Latitude,Longitude,International,Latitude,Longitude,AllFlights
20-Mar,O,Melbourne,-37.8136,144.9631,Christchurch,-43.5308,172.6380,25
20-Mar,O,Melbourne,-37.8136,144.9631,Christchurch,-43.5308,172.6380,26
20-Mar,O,Melbourne,-37.8136,144.9631,Colombo,6.9344,79.8428,25
20-Mar,O,Melbourne,-37.8136,144.9631,Denpasar,-8.6722,115.2336,1
20-Mar,O,Melbourne,-37.8136,144.9631,Denpasar,-8.6722,115.2336,21
20-Mar,O,Melbourne,-37.8136,144.9631,Denpasar,-8.6722,115.2336,45
20-Mar,O,Melbourne,-37.8136,144.9631,Denpasar,-8.6722,115.2336,1
20-Mar,O,Melbourne,-37.8136,144.9631,Denpasar,-8.6722,115.2336,17
20-Mar,O,Melbourne,-37.8136,144.9631,Denpasar,-8.6722,115.2336,18
20-Mar,O,Melbourne,-37.8136,144.9631,Guangzhou,23.1291,113.2644,28
20-Mar,O,Melbourne,-37.8136,144.9631,Honolulu,21.3099,-157.8582,5
20-Mar,O,Melbourne,-37.8136,144.9631,London,51.5002,-0.1262,25
20-Mar,O,Melbourne,-37.8136,144.9631,Los Angeles,34.0522,-118.2433,32
20-Mar,O,Melbourne,-37.8136,144.9631,Los Angeles,34.0522,-118.2433,14
20-Mar,O,Melbourne,-37.8136,144.9631,Los Angeles,34.0522,-118.2433,14
20-Mar,O,Melbourne,-37.8136,144.9631,Manila,14.5823,120.9748,6
20-Mar,O,Melbourne,-37.8136,144.9631,Manila,14.5823,120.9748,14
20-Mar,O,Melbourne,-37.8136,144.9631,Nadi,-17.4800,177.4167,15
20-Mar,O,Melbourne,-37.8136,144.9631,Nadi,-17.4800,177.4167,6
20-Mar,O,Melbourne,-37.8136,144.9631,New Delhi,28.6139,77.2089,9
20-Mar,O,Melbourne,-37.8136,144.9631,Nouméa,-22.2758,166.4580,5
20-Mar,O,Melbourne,-37.8136,144.9631,Phuket,7.8900,98.3982,9
20-Mar,O,Melbourne,-37.8136,144.9631,Phuket,7.8900,98.3982,2
